Worker ID, File, Total Time (ms), lateFile?, totalSpans, parser nodes, typer nodes, LoC, LoC/s
0, src/main/scala/example/Hello.scala, 1056, false, 31, 16, 23, 5, 5
1, src/main/scala/example/model/package.scala, 779, false, 28, 14, 17, 2, 3
